Facility Name,Cases,Fatalities,type,date,
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-08-19
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-08-19
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-08-19
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-08-19
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-08-19
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-08-19
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-08-19
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-08-19
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-08-19
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-08-19
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-08-19
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-08-19
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-08-19
Total,2760 to 2764,755 to 759,nursing home,2020-08-19
"Anchor Bay at Greenwich 
 (East Greenwich)",5 to 9,0,assisted living,2020-08-19
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-08-19
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-08-19
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-08-19
Highlands on the East Side (Providence),25 to 29,Fewer than five,assisted living,2020-08-19
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-08-19
Pacifica Senior Living Victoria Court (Cranston),10 to 14,Fewer than five,assisted living,2020-08-19
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-08-19
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-08-19
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-08-19
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-08-19
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-19
Total,200 to 204,45 to 49,assisted living,2020-08-19
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-08-26
Bannister House (Providence),65 to 69,5 to 9,nursing home,2020-08-26
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-08-26
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-08-26
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-08-26
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-08-26
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-08-26
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-08-26
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-08-26
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-08-26
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-08-26
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-08-26
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-08-26
Elmhurst Healthcare Center (Providence),80 to 84,25 to 29,nursing home,2020-08-26
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-08-26
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-08-26
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-08-26
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-08-26
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-08-26
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-08-26
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-08-26
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-08-26
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-08-26
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-08-26
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-08-26
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-08-26
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-08-26
Hopkins Manor (North Providence),100 to 104,20 to 24,nursing home,2020-08-26
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-08-26
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-08-26
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-08-26
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-08-26
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-08-26
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-08-26
Orchard View Manor (East Providence),140 to 144,45 to 49,nursing home,2020-08-26
"Pawtucket Skilled Nursing & Rehab
 (Pawtucket)",25 to 29,Fewer than five,nursing home,2020-08-26
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-08-26
Riverview Healthcare Community (Coventry),75 to 79,10 to 14,nursing home,2020-08-26
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-08-26
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-08-26
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-08-26
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-08-26
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-08-26
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-08-26
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-08-26
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-08-26
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-08-26
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-08-26
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-08-26
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-08-26
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-08-26
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-08-26
Woonsocket Health Center (Woonsocket),85 to 89,20 to 24,nursing home,2020-08-26
Total,2795 to 2799,765 to 769,nursing home,2020-08-26
"Anchor Bay at Greenwich 
 (East Greenwich)",5 to 9,0,assisted living,2020-08-26
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-08-26
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-08-26
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-08-26
Highlands on the East Side (Providence),25 to 29,Fewer than five,assisted living,2020-08-26
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-08-26
Pacifica Senior Living Victoria Court (Cranston),10 to 14,Fewer than five,assisted living,2020-08-26
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-08-26
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-08-26
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-08-26
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-08-26
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-08-26
Total,205 to 209,50 to 54,assisted living,2020-08-26
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-09-02
Bannister House (Providence),65 to 69,10 to 14,nursing home,2020-09-02
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-09-02
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-09-02
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-09-02
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-09-02
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-09-02
Brookdale South Bay (Wakefield),15 to 19,Fewer than five,nursing home,2020-09-02
Cedar Crest (Cranston),2 to 4,0,nursing home,2020-09-02
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-09-02
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-09-02
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-09-02
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-09-02
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-09-02
Elmhurst Healthcare Center (Providence),80 to 84,25 to 29,nursing home,2020-09-02
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-09-02
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-09-02
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-09-02
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-09-02
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-09-02
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-09-02
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-09-02
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-09-02
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-09-02
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-09-02
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-09-02
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-09-02
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-09-02
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-09-02
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-09-02
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-09-02
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-09-02
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-09-02
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-09-02
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-09-02
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-09-02
Pawtucket Skilled Nursing & Rehab (Pawtucket),35 to 39,Fewer than five,nursing home,2020-09-02
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-09-02
Riverview Healthcare Community (Coventry),80 to 84,10 to 14,nursing home,2020-09-02
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-09-02
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-09-02
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-09-02
Scandinavian Home Nursing (Cranston),2 to 4,0,nursing home,2020-09-02
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-09-02
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-09-02
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-09-02
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-09-02
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-09-02
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-09-02
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-09-02
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-09-02
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-09-02
West Shore Health Center (Warwick),105 to 109,40 to 44,nursing home,2020-09-02
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-09-02
Woonsocket Health Center (Woonsocket),90 to 94,20 to 24,nursing home,2020-09-02
Total,2835 to 2839,770 to 774,nursing home,2020-09-02
Anchor Bay at Greenwich (East Greenwich),5 to 9,0,assisted living,2020-09-02
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-09-02
Brookdale South Bay Retirement Living (Wakefield),2 to 4,Fewer than five,assisted living,2020-09-02
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-09-02
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-09-02
Highlands on the East Side (Providence),30 to 34,Fewer than five,assisted living,2020-09-02
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-09-02
Pacifica Senior Living Victoria Court (Cranston),10 to 14,Fewer than five,assisted living,2020-09-02
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-09-02
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-09-02
"The Village at Waterman Lake - The Lodge
 (Smithfield)",2 to 4,0,assisted living,2020-09-02
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-09-02
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-09-02
Total,210 to 214,50 to 54,assisted living,2020-09-02
Ballou Home (Woonsocket),5 to 9,0,nursing home,2020-09-09
Bannister House (Providence),75 to 79,10 to 14,nursing home,2020-09-09
Berkshire Place (Providence),165 to 169,35 to 39,nursing home,2020-09-09
Bethany Home (Providence),15 to 19,5 to 9,nursing home,2020-09-09
Brentwood Nursing Home (Warwick),35 to 39,10 to 14,nursing home,2020-09-09
Briarcliffe Manor (Johnston),65 to 69,20 to 24,nursing home,2020-09-09
Brookdale Sakonnet Bay (Tiverton),10 to 14,Fewer than five,nursing home,2020-09-09
Brookdale South Bay (Wakefield),15 to 19,Fewer than five,nursing home,2020-09-09
Cedar Crest (Cranston),5 to 9,0,nursing home,2020-09-09
Charlesgate Nursing Center (Providence),75 to 79,10 to 14,nursing home,2020-09-09
Cherry Hill Manor (Johnston),75 to 79,25 to 29,nursing home,2020-09-09
Crestwood Nursing & Rehab (Warren),15 to 19,Fewer than five,nursing home,2020-09-09
Crystal Lake Rehabilitation & Care Center (Burrillville),40 to 44,15 to 19,nursing home,2020-09-09
Eastgate Nursing & Rehab (East Providence),40 to 44,10 to 14,nursing home,2020-09-09
Elmhurst Healthcare Center (Providence),80 to 84,25 to 29,nursing home,2020-09-09
Elmwood Nursing and Rehab Center (Providence),45 to 49,5 to 9,nursing home,2020-09-09
Evergreen House Health Center (East Providence),110 to 114,20 to 24,nursing home,2020-09-09
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,2020-09-09
Golden Crest (North Providence),95 to 99,35 to 39,nursing home,2020-09-09
Grace Barker Nursing Home (Warren),2 to 4,0,nursing home,2020-09-09
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,2020-09-09
Grandview Center (Cumberland),2 to 4,0,nursing home,2020-09-09
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,20 to 24,nursing home,2020-09-09
Greenwood Center (Warwick),2 to 4,0,nursing home,2020-09-09
Hallworth House (Providence),25 to 29,10 to 14,nursing home,2020-09-09
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,2020-09-09
Heatherwood Rehab & Health Center (Newport),2 to 4,0,nursing home,2020-09-09
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,2020-09-09
Heritage Hills (Smithfield),5 to 9,0,nursing home,2020-09-09
Holiday Retirement Home (Manville),95 to 99,25 to 29,nursing home,2020-09-09
Hopkins Manor (North Providence),105 to 109,20 to 24,nursing home,2020-09-09
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,2020-09-09
Linn Health & Rehab Center (East Providence),35 to 39,10 to 14,nursing home,2020-09-09
Morgan Health Center Nursing and Rehab (Johnston),25 to 29,5 to 9,nursing home,2020-09-09
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,2020-09-09
Oak Hill Health Center (Pawtucket),80 to 84,25 to 29,nursing home,2020-09-09
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,2020-09-09
Orchard View Manor (East Providence),135 to 139,45 to 49,nursing home,2020-09-09
Pawtucket Skilled Nursing & Rehab (Pawtucket),45 to 49,Fewer than five,nursing home,2020-09-09
Rhode Island Veterans Home (Bristol),15 to 19,5 to 9,nursing home,2020-09-09
Riverview Healthcare Community (Coventry),85 to 89,10 to 14,nursing home,2020-09-09
Saint Antoine Residence (North Smithfield),65 to 69,20 to 24,nursing home,2020-09-09
Saint Elizabeth Home (East Greenwich),2 to 4,0,nursing home,2020-09-09
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,2020-09-09
Scalabrini Villa (North Kingstown),70 to 74,20 to 24,nursing home,2020-09-09
Scandinavian Home Nursing (Cranston),2 to 4,0,nursing home,2020-09-09
Silver Creek Manor (Bristol),2 to 4,0,nursing home,2020-09-09
South County Nursing Center (North Kingstown),80 to 84,25 to 29,nursing home,2020-09-09
South Kingstown Center (West Kingston),20 to 24,5 to 9,nursing home,2020-09-09
Steere House Nursing and Rehab (Providence),75 to 79,25 to 29,nursing home,2020-09-09
Stillwater Skilled Nursing (Greenville),60 to 64,20 to 24,nursing home,2020-09-09
Summit Commons (Providence),105 to 109,25 to 29,nursing home,2020-09-09
Trinity Health Center (Woonsocket),20 to 24,Fewer than five,nursing home,2020-09-09
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,2020-09-09
Waterview Villa (East Providence),45 to 49,10 to 14,nursing home,2020-09-09
West Shore Health Center (Warwick),110 to 114,40 to 44,nursing home,2020-09-09
West View Nursing Center (West Warwick),65 to 69,15 to 19,nursing home,2020-09-09
Woonsocket Health Center (Woonsocket),90 to 94,20 to 24,nursing home,2020-09-09
Total,2865 to 2869,775 to 779,nursing home,2020-09-09
Anchor Bay at Greenwich (East Greenwich),5 to 9,0,assisted living,2020-09-09
Brentwood by the Bay (Warwick),2 to 4,0,assisted living,2020-09-09
Brookdale South Bay Retirement Living (Wakefield),2 to 4,Fewer than five,assisted living,2020-09-09
Capitol Ridge at Providence (Providence),20 to 24,5 to 9,assisted living,2020-09-09
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,10 to 14,assisted living,2020-09-09
Highlands on the East Side (Providence),35 to 39,5 to 9,assisted living,2020-09-09
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,2020-09-09
Pacifica Senior Living Victoria Court (Cranston),10 to 14,Fewer than five,assisted living,2020-09-09
Spring Villa Memory Care (West Warwick),15 to 19,Fewer than five,assisted living,2020-09-09
Stillwater Assisted Living (Greenville),5 to 9,Fewer than five,assisted living,2020-09-09
The Village at Waterman Lake - The Lodge (Smithfield),5 to 9,0,assisted living,2020-09-09
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,10 to 14,assisted living,2020-09-09
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,2020-09-09
Total,220 to 224,50 to 54,assisted living,2020-09-09
