school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
Saylesville Elementary School,Lincoln,0,5 to 9,0,Fewer than five,in person,2021-03-10
Wilbur and McMahon Schools,Little Compton,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Metropolitan Regional Career and Technical Center,MET Career and Tech,Fewer than five,10 to 14,Fewer than five,5 to 9,in person,2021-03-10
Aquidneck Elementary School,Middletown,0,10 to 14,0,Fewer than five,in person,2021-03-10
Forest Avenue School,Middletown,Fewer than five,10 to 14,0,Fewer than five,in person,2021-03-10
Joseph H. Gaudet Learning Academy,Middletown,0,5 to 9,0,Fewer than five,in person,2021-03-10
Joseph H. Gaudet Middle School,Middletown,0,15 to 19,Fewer than five,5 to 9,in person,2021-03-10
Middletown High School,Middletown,0,20 to 24,0,Fewer than five,in person,2021-03-10
Narragansett Elementary School,Narragansett,Fewer than five,15 to 19,0,10 to 14,in person,2021-03-10
Narragansett High School,Narragansett,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
Narragansett Pier School,Narragansett,Fewer than five,5 to 9,Fewer than five,Fewer than five,in person,2021-03-10
Block Island School,New Shoreham,0,5 to 9,0,Fewer than five,in person,2021-03-10
Claiborne Pell Elementary School,Newport,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
Frank E. Thompson Middle School,Newport,Fewer than five,10 to 14,0,Fewer than five,in person,2021-03-10
Rogers High School,Newport,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
The Pell Annex @ John F. Kennedy School,Newport,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Davisville Academy,North Kingstown,0,0,0,Fewer than five,in person,2021-03-10
Davisville Middle School,North Kingstown,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
Fishing Cove Elementary School,North Kingstown,0,5 to 9,0,5 to 9,in person,2021-03-10
Forest Park Elementary School,North Kingstown,0,5 to 9,0,5 to 9,in person,2021-03-10
Hamilton Elementary School,North Kingstown,0,10 to 14,0,Fewer than five,in person,2021-03-10
North Kingstown Senior High School,North Kingstown,Fewer than five,55 to 59,0,10 to 14,in person,2021-03-10
Stony Lane Elementary School,North Kingstown,0,5 to 9,0,Fewer than five,in person,2021-03-10
Suzanne M. Henseler Quidnessett Elementary School,North Kingstown,0,5 to 9,0,Fewer than five,in person,2021-03-10
Wickford Middle School,North Kingstown,Fewer than five,10 to 14,0,Fewer than five,in person,2021-03-10
Birchwood Middle School,North Providence,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
Centredale School,North Providence,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Dr. Edward A. Ricci Middle School,North Providence,0,10 to 14,0,5 to 9,in person,2021-03-10
Dr. Joseph A Whelan Elementary School,North Providence,0,5 to 9,0,Fewer than five,in person,2021-03-10
Greystone School,North Providence,Fewer than five,5 to 9,0,5 to 9,in person,2021-03-10
James L. McGuire School,North Providence,0,15 to 19,Fewer than five,5 to 9,in person,2021-03-10
North Providence High School,North Providence,Fewer than five,40 to 44,0,15 to 19,in person,2021-03-10
Stephen Olney School,North Providence,Fewer than five,15 to 19,Fewer than five,5 to 9,in person,2021-03-10
North Smithfield Elementary School,North Smithfield,Fewer than five,15 to 19,0,10 to 14,in person,2021-03-10
North Smithfield High School,North Smithfield,0,30 to 34,0,5 to 9,in person,2021-03-10
North Smithfield Middle School,North Smithfield,Fewer than five,15 to 19,0,5 to 9,in person,2021-03-10
Northern RI Collaborative,Northern RI Collaborative,Fewer than five,5 to 9,0,0,in person,2021-03-10
Paul Cuffee Lower School,Paul Cuffee Charter Sch,0,5 to 9,0,5 to 9,in person,2021-03-10
Paul Cuffee Middle School,Paul Cuffee Charter Sch,0,10 to 14,0,Fewer than five,in person,2021-03-10
Paul Cuffee Upper School,Paul Cuffee Charter Sch,0,5 to 9,0,Fewer than five,in person,2021-03-10
Agnes E. Little School,Pawtucket,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-03-10
Charles E. Shea High School,Pawtucket,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-03-10
Curvin-McCabe School,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Elizabeth Baldwin School,Pawtucket,0,0,0,Fewer than five,in person,2021-03-10
Fallon Memorial School,Pawtucket,Fewer than five,Fewer than five,Fewer than five,Fewer than five,in person,2021-03-10
Flora S. Curtis Memorial School,Pawtucket,Fewer than five,Fewer than five,0,0,in person,2021-03-10
Francis J. Varieur School,Pawtucket,0,5 to 9,0,10 to 14,in person,2021-03-10
Henry J. Winters School,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,0,Fewer than five,0,0,in person,2021-03-10
Joseph Jenks Middle School,Pawtucket,0,5 to 9,0,10 to 14,in person,2021-03-10
Lyman B. Goff Middle School,Pawtucket,0,0,Fewer than five,Fewer than five,in person,2021-03-10
M. Virginia Cunningham School,Pawtucket,0,0,0,Fewer than five,in person,2021-03-10
Nathanael Greene Elementary School (Pawtucket),Pawtucket,0,10 to 14,0,5 to 9,in person,2021-03-10
Potter-Burns School,Pawtucket,0,5 to 9,0,5 to 9,in person,2021-03-10
Providence Autism School to Tomorrow Academy,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Rhode Island Alternative Academy,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Samuel Slater Middle School,Pawtucket,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-03-10
William E Tolman Senior High School,Pawtucket,Fewer than five,Fewer than five,Fewer than five,Fewer than five,in person,2021-03-10
Howard Hathaway School,Portsmouth,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Melville Elementary School,Portsmouth,Fewer than five,15 to 19,0,5 to 9,in person,2021-03-10
Portsmouth High School,Portsmouth,0,20 to 24,0,5 to 9,in person,2021-03-10
Portsmouth Middle School,Portsmouth,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
Academy For Little Children,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Action Based Enterprises,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Barrington Christian Academy,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
Block Island Early Learning Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Bradley School North,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Bradley School Providence,Private Schools,0,Fewer than five,Fewer than five,5 to 9,in person,2021-03-10
Bradley School-South,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Brown Fox Point Early Childhood Ed. Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
"CHILD, Inc., Draper Avenue Center",Private Schools,0,Fewer than five,0,0,in person,2021-03-10
"CHILD, Inc.- Payan Street",Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Cadence Academy Preschool,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Calvary Christian Preschool,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Center for Individualized Training and Ed.,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Children's Friend @ Dorcas International,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Community Christian School,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Community Preparatory School,Private Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Cornerstone School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Cranston Child Development Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Day Spring Christian Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
East Bay Community Action Program Head Start @ John Chafee Blvd,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Eleanor Briggs School,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Greenwich Village Nursery and Kindergarten,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Groden Center South,Private Schools,0,5 to 9,0,10 to 14,in person,2021-03-10
Harmony Hill School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
Henry Barnard School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
High Road School of Providence,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Islamic School of RI,Private Schools,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
Jewish Community Day School of Rhode Island,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Lifespan School Solutions,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Lincoln School,Private Schools,0,10 to 14,Fewer than five,Fewer than five,in person,2021-03-10
Meadowbrook Waldorf School,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Meadowridge School-Justice Resource,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Meeting Street School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-03-10
Middlebridge School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Montessori Centre of Barrington,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Montessori Children's House,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Moses Brown School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
Mount Pleasant Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Ocean State Academy,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
Ocean State Montessori School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Overbrook Academy,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
Pathways Strategic Teaching Center(Coventry),Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
Pathways Strategic Teaching Center(Warwick),Private Schools,0,5 to 9,0,5 to 9,in person,2021-03-10
Portsmouth Abbey School,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
Providence Country Day School,Private Schools,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-03-10
Providence Hebrew Day/N.E. Academy of Torah,Private Schools,0,0,Fewer than five,Fewer than five,in person,2021-03-10
Quest Montessori School,Private Schools,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-03-10
READS Collaborative,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Rocky Hill School,Private Schools,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
Roger Williams Day Care Center,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
Sakonnet Early Learning Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
San Miguel School,Private Schools,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-03-10
Sargent Rehabilitation Center,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
School One,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Sea Rose Montessori Co-op,Private Schools,Fewer than five,Fewer than five,0,0,in person,2021-03-10
Sophia Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Southcoast Educational Collaborative,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
St. Andrew's School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-03-10
St. George's School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-03-10
St. Michael's Country Day School,Private Schools,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-03-10
St. Patrick's School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Swansea Wood School,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
The Bradley School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-03-10
The Croft School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
The French-American School of RI,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-03-10
The Gordon School,Private Schools,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
The Grace School,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
"The Groden Center, Inc.",Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
The Martin School,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
The Pennfield School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-03-10
The Providence Center School,Private Schools,0,Fewer than five,0,5 to 9,in person,2021-03-10
The Romerry School for Young Children,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
The Spurwink School,Private Schools,0,0,0,Fewer than five,in person,2021-03-10
The Tides School - Pawtucket,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
The Tides School - West Warwick,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-03-10
The Wheeler School,Private Schools,Fewer than five,15 to 19,0,15 to 19,in person,2021-03-10
The Wolf School,Private Schools,0,10 to 14,0,5 to 9,in person,2021-03-10
Trinity Christian Academy,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-03-10
West Bay Christian Academy,Private Schools,0,5 to 9,0,5 to 9,in person,2021-03-10
Westerly Pre-School Childhood Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
Woonsocket Head Start-Bourdon Blvd Center,Private Schools,0,Fewer than five,0,0,in person,2021-03-10
360 High School,Providence,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
A Venture Academy,Providence,0,Fewer than five,0,0,in person,2021-03-10
Alan Shawn Feinstein Elementary at Broad Street,Providence,Fewer than five,20 to 24,0,10 to 14,in person,2021-03-10
Alfred Lima Sr. Elementary School,Providence,0,15 to 19,0,5 to 9,in person,2021-03-10
Anthony Carnevale Elementary School,Providence,0,15 to 19,Fewer than five,15 to 19,in person,2021-03-10
Asa Messer Elementary School,Providence,0,10 to 14,0,5 to 9,in person,2021-03-10
Carl G. Lauro Elementary School,Providence,Fewer than five,5 to 9,0,15 to 19,in person,2021-03-10
Central High School,Providence,0,25 to 29,Fewer than five,10 to 14,in person,2021-03-10
Charles N. Fortes Elementary School,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-03-10
Classical High School,Providence,0,70 to 74,0,5 to 9,in person,2021-03-10
Dr. Jorge Alvarez High School,Providence,Fewer than five,20 to 24,0,5 to 9,in person,2021-03-10
"Dr. Martin Luther King, Jr. Elementary School",Providence,0,10 to 14,0,5 to 9,in person,2021-03-10
E-Cubed Academy,Providence,0,10 to 14,0,5 to 9,in person,2021-03-10
Esek Hopkins Middle School,Providence,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
Frank D. Spaziano Elementary School,Providence,0,15 to 19,0,Fewer than five,in person,2021-03-10
Frank D. Spaziano Elementary School Annex,Providence,0,Fewer than five,0,5 to 9,in person,2021-03-10
George J. West Elementary School,Providence,Fewer than five,25 to 29,0,10 to 14,in person,2021-03-10
Gilbert Stuart Middle School,Providence,Fewer than five,25 to 29,0,10 to 14,in person,2021-03-10
Governor Christopher DelSesto Middle School,Providence,0,20 to 24,0,15 to 19,in person,2021-03-10
Harry Kizirian Elementary School,Providence,0,20 to 24,0,5 to 9,in person,2021-03-10
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,0,Fewer than five,0,0,in person,2021-03-10
Hope High School,Providence,0,35 to 39,0,20 to 24,in person,2021-03-10
Leviton Dual Language School,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-03-10
Lillian Feinstein Elementary Sackett Street,Providence,Fewer than five,15 to 19,0,5 to 9,in person,2021-03-10
Love 4 All Childcare Center,Providence,0,Fewer than five,0,0,in person,2021-03-10
Mary E. Fogarty Elementary School,Providence,0,15 to 19,0,5 to 9,in person,2021-03-10
Mount Pleasant High School,Providence,0,25 to 29,0,15 to 19,in person,2021-03-10
Nathan Bishop Middle School,Providence,Fewer than five,20 to 24,0,15 to 19,in person,2021-03-10
Nathanael Greene Middle School (Providence),Providence,Fewer than five,25 to 29,Fewer than five,15 to 19,in person,2021-03-10
PPSD Multiple Pathway Evening Program,Providence,0,0,0,Fewer than five,in person,2021-03-10
Pleasant View School,Providence,0,20 to 24,Fewer than five,15 to 19,in person,2021-03-10
Providence Career and Technical Academy,Providence,0,40 to 44,Fewer than five,5 to 9,in person,2021-03-10
Providence Transition Academy and Providence Autism School to Tomorrow Academy,Providence,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Reservoir Avenue School,Providence,Fewer than five,10 to 14,0,5 to 9,in person,2021-03-10
Robert F. Kennedy Elementary School,Providence,0,10 to 14,0,Fewer than five,in person,2021-03-10
Robert L Bailey IV Elementary School,Providence,0,15 to 19,0,10 to 14,in person,2021-03-10
Roger Williams Middle School,Providence,0,15 to 19,Fewer than five,10 to 14,in person,2021-03-10
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,0,20 to 24,0,5 to 9,in person,2021-03-10
Times2 Elementary School,Providence,0,20 to 24,0,5 to 9,in person,2021-03-10
Times2 Middle/High School,Providence,0,10 to 14,Fewer than five,10 to 14,in person,2021-03-10
Vartan Gregorian Elementary School,Providence,0,10 to 14,0,Fewer than five,in person,2021-03-10
Veazie Street School,Providence,Fewer than five,10 to 14,0,5 to 9,in person,2021-03-10
Webster Avenue School,Providence,0,10 to 14,0,10 to 14,in person,2021-03-10
West Broadway Middle School,Providence,Fewer than five,15 to 19,Fewer than five,5 to 9,in person,2021-03-10
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,Fewer than five,10 to 14,Fewer than five,15 to 19,in person,2021-03-10
William D'Abate Elementary School,Providence,Fewer than five,25 to 29,0,5 to 9,in person,2021-03-10
Rhode Island School for the Deaf,R.I. Sch for the Deaf,0,5 to 9,0,Fewer than five,in person,2021-03-10
RISE Prep Mayoral Academy Elementary School,RISE Prep Mayoral Academy,Fewer than five,15 to 19,0,Fewer than five,in person,2021-03-10
RISE Prep Mayoral Academy Middle School,RISE Prep Mayoral Academy,0,Fewer than five,0,0,in person,2021-03-10
RI Nurses Institute Middle College Charter High School,Rhode Island Nurses Institute Middle College,0,Fewer than five,0,0,in person,2021-03-10
Clayville Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-03-10
Hope Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-03-10
North Scituate Elementary School,Scituate,0,5 to 9,0,Fewer than five,in person,2021-03-10
Scituate High School,Scituate,Fewer than five,10 to 14,0,5 to 9,in person,2021-03-10
Scituate Middle School,Scituate,5 to 9,15 to 19,0,Fewer than five,in person,2021-03-10
Segue Institute for Learning,Segue Institute for Learning,0,10 to 14,0,5 to 9,in person,2021-03-10
Sheila Skip Nowell Leadership Academy (Capital Campus),Sheila Skip Nowell Leadership Academy,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Anna M. McCabe School,Smithfield,0,10 to 14,0,5 to 9,in person,2021-03-10
Momentum Professional Behavioral Services,Smithfield,0,Fewer than five,0,0,in person,2021-03-10
Old County Road School,Smithfield,0,5 to 9,0,5 to 9,in person,2021-03-10
Raymond C. LaPerche School,Smithfield,0,5 to 9,0,5 to 9,in person,2021-03-10
Smithfield Senior High School,Smithfield,0,65 to 69,0,10 to 14,in person,2021-03-10
Vincent J. Gallagher Middle School,Smithfield,0,30 to 34,0,10 to 14,in person,2021-03-10
William Winsor School,Smithfield,0,20 to 24,0,Fewer than five,in person,2021-03-10
Broad Rock Middle School,South Kingstown,0,15 to 19,0,5 to 9,in person,2021-03-10
Curtis Corner Middle School,South Kingstown,Fewer than five,15 to 19,Fewer than five,5 to 9,in person,2021-03-10
Matunuck School,South Kingstown,0,10 to 14,0,Fewer than five,in person,2021-03-10
Peace Dale Elementary School,South Kingstown,0,5 to 9,0,5 to 9,in person,2021-03-10
South Kingstown High School,South Kingstown,Fewer than five,35 to 39,Fewer than five,10 to 14,in person,2021-03-10
Wakefield Elementary School,South Kingstown,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-03-10
West Kingston Elementary School,South Kingstown,Fewer than five,Fewer than five,0,0,in person,2021-03-10
SouthSide Elementary Charter School,SouthSide Charter School,0,Fewer than five,0,5 to 9,in person,2021-03-10
The Compass School,The Compass School,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-03-10
The Greene School,The Greene School,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
The Hope Academy,The Hope Academy,Fewer than five,10 to 14,0,Fewer than five,in person,2021-03-10
Fort Barton School,Tiverton,Fewer than five,10 to 14,0,Fewer than five,in person,2021-03-10
Pocasset School,Tiverton,0,5 to 9,0,0,in person,2021-03-10
Tiverton High School,Tiverton,Fewer than five,20 to 24,0,Fewer than five,in person,2021-03-10
Tiverton Middle School,Tiverton,0,20 to 24,0,Fewer than five,in person,2021-03-10
Walter E. Ranger School,Tiverton,0,10 to 14,0,Fewer than five,in person,2021-03-10
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,0,0,0,Fewer than five,in person,2021-03-10
Urban Collaborative Accelerated Program,Urban Collaborative,0,5 to 9,0,Fewer than five,in person,2021-03-10
Village Green Virtual Charter School,Village Green Virtual,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Cedar Hill School,Warwick,0,15 to 19,0,5 to 9,in person,2021-03-10
Cottrell F. Hoxsie School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
E. G. Robertson School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
E.T. Wyman Elementary School,Warwick,Fewer than five,5 to 9,0,5 to 9,in person,2021-03-10
Greenwood School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Harold F. Scott School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Holliman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Lippitt School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Norwood School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Oakland Beach Elementary School,Warwick,0,5 to 9,0,5 to 9,in person,2021-03-10
Park School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Pilgrim High School,Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Sherman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Toll Gate High School,Warwick,0,20 to 24,0,Fewer than five,in person,2021-03-10
Warwick Area Career and Technical Center,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Warwick Early Learning Center at John Brown Francis,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Warwick Neck School,Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Warwick Veterans Middle School,Warwick,Fewer than five,5 to 9,0,15 to 19,in person,2021-03-10
Westbay Community Action Children's Center,Warwick,0,0,0,Fewer than five,in person,2021-03-10
Winman Middle School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
West Bay Collaborative,West Bay Collaborative,0,Fewer than five,Fewer than five,5 to 9,in person,2021-03-10
Greenbush Elementary School,West Warwick,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
John F. Deering Middle School,West Warwick,0,25 to 29,Fewer than five,5 to 9,in person,2021-03-10
John F. Horgan Elementary School,West Warwick,0,5 to 9,0,Fewer than five,in person,2021-03-10
Maisie E. Quinn Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Wakefield Hills Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-03-10
West Warwick Senior High School,West Warwick,0,25 to 29,0,5 to 9,in person,2021-03-10
Dunn's Corners School,Westerly,Fewer than five,5 to 9,0,5 to 9,in person,2021-03-10
Springbrook Elementary School,Westerly,0,15 to 19,Fewer than five,Fewer than five,in person,2021-03-10
State Street School,Westerly,0,10 to 14,Fewer than five,5 to 9,in person,2021-03-10
Westerly High School,Westerly,Fewer than five,30 to 34,0,10 to 14,in person,2021-03-10
Westerly Inclusion Preschool Program - Babcock Hall,Westerly,0,Fewer than five,0,0,in person,2021-03-10
Westerly Middle School,Westerly,5 to 9,30 to 34,0,10 to 14,in person,2021-03-10
Bernon Heights School,Woonsocket,0,5 to 9,Fewer than five,5 to 9,in person,2021-03-10
Globe Park School,Woonsocket,Fewer than five,5 to 9,0,Fewer than five,in person,2021-03-10
Harris School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-03-10
Kevin K. Coleman Elementary School,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-03-10
Leo A. Savoie School,Woonsocket,0,10 to 14,0,Fewer than five,in person,2021-03-10
Pothier-Citizens Elementary Campus,Woonsocket,Fewer than five,5 to 9,Fewer than five,5 to 9,in person,2021-03-10
Woonsocket Area Career and Technical Center,Woonsocket,0,Fewer than five,0,0,in person,2021-03-10
Woonsocket High School,Woonsocket,Fewer than five,10 to 14,Fewer than five,15 to 19,in person,2021-03-10
Woonsocket Middle School at Hamlet,Woonsocket,0,5 to 9,Fewer than five,15 to 19,in person,2021-03-10
Woonsocket Middle School at Villa Nova,Woonsocket,Fewer than five,5 to 9,0,5 to 9,in person,2021-03-10
Other*,,Fewer than five,80 to 84,Fewer than five,275 to 279,in person,2021-03-10
,Total:,200 to 204,5065 to 5069,55 to 59,2295 to 2299,in person,2021-03-10
AF Iluminar Mayoral Academy Middle School,Achievement First Rhode Island,0,Fewer than five,0,0,virtual,2021-03-10
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Achievement First Promesa Elementary,Achievement First Rhode Island,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,0,50 to 54,0,5 to 9,virtual,2021-03-10
Barrington High School,Barrington,0,40 to 44,0,Fewer than five,virtual,2021-03-10
Barrington Middle School,Barrington,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Hampden Meadows School,Barrington,0,Fewer than five,0,0,virtual,2021-03-10
Nayatt School,Barrington,0,5 to 9,0,0,virtual,2021-03-10
Primrose Hill School,Barrington,0,Fewer than five,0,0,virtual,2021-03-10
Sowams Elementary School,Barrington,0,Fewer than five,0,0,virtual,2021-03-10
BEACON Charter School,Beacon Charter School,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-03-10
Founders Academy,Beacon Charter School,Fewer than five,5 to 9,0,0,virtual,2021-03-10
Blackstone Academy Charter School,Blackstone Academy,0,25 to 29,0,Fewer than five,virtual,2021-03-10
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,Fewer than five,virtual,2021-03-10
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,0,virtual,2021-03-10
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,30 to 34,0,Fewer than five,virtual,2021-03-10
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",0,35 to 39,0,Fewer than five,virtual,2021-03-10
Blackstone Valley Prep Junior High School (JHS),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,0,virtual,2021-03-10
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,Fewer than five,virtual,2021-03-10
Colt Andrews School,Bristol Warren,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Guiteras School,Bristol Warren,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Hugh Cole School,Bristol Warren,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-03-10
Kickemuit Middle School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Mt. Hope High School,Bristol Warren,Fewer than five,45 to 49,0,Fewer than five,virtual,2021-03-10
Rockwell School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Austin T. Levy School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
